final_exam,ga1,ga2,homework,CalculatedNumericResult,EndResult,Passed,origin,sex,croho,double_major,type_vooropleiding,ECTS,GPA,total_attended_labsessions,course_repeater,active_minutes,total_course_activities,nightly_activities,distinct_days,logged_in_weekly,nr_files_viewed,nr_distinct_files_viewed,nr_slides_viewed,nr_practice_exams_viewed
"6,3","8,4","7,2","10,0",7.2,7.0,true,ORIGIN_R,SEX_V,B Industrial Engineering,false,WO,0,6.6,0,false,4173,324,64,33,1,40,25,11,1
"6,3","8,4","7,2","8,0",7.0,7.0,true,ORIGIN_R,SEX_M,B Industrial Engineering,false,BUITENL_SL,10,6.3,1,false,3513,344,84,25,1,49,25,10,5
"6,3","8,4","7,4","10,0",7.3,7.0,true,ORIGIN_E,SEX_M,B Data Science (joint degree),false,BUITENL_SL,15,5.9,7,false,740,292,24,23,1,37,23,7,5
"6,3","8,4","8,7","10,0",7.6,8.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,10,5.4,2,false,2708,380,20,32,0,56,23,3,14
"6,3","8,4","9,6","10,0",7.8,8.0,true,ORIGIN_R,SEX_V,B Industrial Engineering,false,BUITENL_SL,15,7.4,8,false,3247,380,8,39,1,59,31,25,5
"6,3","8,5","6,9","7,0",6.9,7.0,true,ORIGIN_N,SEX_M,B Computer Science & Engineering,false,VWO,10,7.3,2,false,3167,336,44,28,1,51,29,13,3
"6,3","8,5","7,9","10,0",7.4,7.0,true,ORIGIN_N,SEX_M,B Industrial Design,false,VWO,10,6.4,5,false,1726,268,44,28,1,31,18,3,0
"6,3","8,5","8,5","10,0",7.6,8.0,true,ORIGIN_R,SEX_V,B Industrial Engineering,false,BUITENL_SL,10,7.2,5,false,2919,380,8,36,1,61,28,23,11
"6,3","8,6","7,0","10,0",7.2,7.0,true,ORIGIN_R,SEX_V,Other,false,BUITENL_SL,15,6.3,5,false,6794,400,52,36,1,59,23,8,13
"6,3","8,6","7,4","8,0",7.1,7.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,15,6.1,3,false,3971,408,40,35,1,63,31,21,10
"6,3","8,6","7,5","10,0",7.3,7.0,true,ORIGIN_E,SEX_V,B Industrial Engineering,false,BUITENL_SL,5,6.2,4,false,1215,304,96,26,1,37,15,3,3
"6,3","8,6","8,6","10,0",7.6,8.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,10,6.7,2,false,1986,440,36,29,1,71,27,23,7
"6,3","8,6","9,1","10,0",7.7,8.0,true,ORIGIN_N,SEX_V,B Computer Science & Engineering,false,BUITENL_SL,5,6.7,6,false,14466,448,28,38,1,72,30,23,8
"6,3","8,7","8,1","10,0",7.5,7.0,true,ORIGIN_N,SEX_V,B Data Science (joint degree),false,VWO,60+,6.3,1,true,1294,360,12,27,1,43,22,9,7
"6,3","8,8","6,1","9,0",6.9,7.0,true,ORIGIN_E,SEX_V,B Industrial Engineering,false,BUITENL_SL,20-40,5.3,2,false,752,280,8,28,1,32,22,7,3
"6,3","8,8","7,6","9,0",7.3,7.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,15,6.5,3,false,740,240,4,25,1,24,16,3,0
"6,3","8,8","8,5","10,0",7.6,8.0,true,ORIGIN_N,SEX_V,B Data Science (joint degree),false,VWO,10,6.2,8,false,2708,500,68,45,1,85,30,39,5
"6,3","9,0","9,5","10,0",7.9,8.0,true,ORIGIN_N,SEX_M,B Computer Science & Engineering,false,VWO,10,6.7,0,false,2622,272,72,21,1,33,29,6,4
"6,3","9,1","7,0","6,0",6.9,7.0,true,ORIGIN_E,SEX_M,B Industrial Design,false,BUITENL_SL,5,5.7,1,false,1485,276,36,30,1,36,22,15,0
"6,3","9,1","7,6","9,0",7.3,7.0,true,ORIGIN_R,SEX_M,B Data Science (joint degree),false,BUITENL_SL,10,5.5,1,false,3088,396,76,32,1,55,32,18,11
"6,3","9,1","8,5","9,0",7.5,8.0,true,ORIGIN_N,SEX_V,B Data Science (joint degree),false,VWO,5,6.1,0,false,3416,408,88,37,1,64,32,20,4
"6,3","9,2","8,7","10,0",7.7,8.0,true,ORIGIN_N,SEX_V,B Industrial Engineering,false,VWO,15,7.5,10,false,1703,372,16,35,1,57,30,17,7
"6,3","9,2","9,8","10,0",8.0,8.0,true,ORIGIN_N,SEX_V,B Data Science (joint degree),false,VWO,10,7.1,7,false,1783,336,0,30,1,48,33,14,7
"6,3","9,3","7,2","10,0",7.3,7.0,true,ORIGIN_R,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,7.0,1,false,2745,472,80,32,1,71,29,30,1
"6,3","9,3","8,6","10,0",7.7,8.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,15,6.7,4,false,3488,544,92,44,1,88,33,34,10
