r2,mae,mse,mean_residual,intercept,coef__G1,pval__G1,coef__G2,pval__G2,coef__absences,pval__absences,coef__activities,pval__activities,coef__paid,pval__paid,coef__famsup,pval__famsup,coef__schoolsup,pval__schoolsup,coef__studytime,pval__studytime,model_type,description,cookD,indices,n_train,n_test,baseline_r2,baseline_mae,baseline_mse,baseline_mean_residual,ttest_p,ttest_stat,wilcoxon_p,wilcoxon_stat,ttest_p_mean,ttest_stat_mean,wilcoxon_p_mean,wilcoxon_stat_mean,ttest_p_mean_global,ttest_stat_mean_global,wilcoxon_p_mean_global,wilcoxon_stat_mean_global
0.2009,2.7655,13.014,0.1435,-4.809130986458426,-0.0032026375675129337,0.9945841036111085,1.256684576589827,0.06497009081530462,0.5780443096568596,0.011472058348717198,-1.9948299773698346,0.3741688994360153,-0.07933567944571351,0.9670579505992651,2.198143185893972,0.1474359868168698,3.292709588598804,0.1998887780188866,-0.48147492321765695,0.7162355290453237,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ school=='GP'",196.2208332349561,"[17, 39, 58, 70, 101, 104, 106, 120, 128, 133, 137, 151, 171, 205, 220, 221, 224, 231, 232, 239, 244, 260, 267]",23,14,0.7308,1.2279,4.3835,0.0776,0.9086695731976308,1.407767035727046,0.9405517578125,77.0,0.1995743707862656,-0.8717691485309627,0.17877197265625,37.0,0.008214572626014313,-2.7534511949413187,0.0101318359375,16.0
-0.6048,2.4966,8.9551,-1.4295,-6.5448361680099225,0.5520768969975642,0.2656166701153221,1.0571400921059522,0.06418063506113593,0.5335411449581804,0.020295739231798168,-2.3236683411080152,0.21923437915222765,-0.23332374080360463,0.900453812105697,2.116264750292531,0.17862369490623342,3.3874423031907193,0.1667424367988774,-1.1309453544879506,0.4455121490562747,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ famrel in (0.999, 4.0]",192.3353259743881,"[1, 4, 17, 29, 39, 58, 70, 92, 101, 120, 128, 151, 161, 171, 205, 220, 221, 231, 232, 239, 244, 267]",22,9,0.976,0.3113,0.1341,-0.1517,0.962194432430298,2.040534088076423,1.0,45.0,0.17434300480573536,-0.9954137872667382,0.125,12.0,0.012010100440082548,-2.777414663286263,0.009765625,3.0
-1.0964,3.269,13.4792,2.0601,-6.620284503611719,-0.11706954516648443,0.8357175752273226,1.4200362507488944,0.04804166952756066,0.5730844976586748,0.028828527718456124,-2.7077306014774476,0.1935055386484755,-2.0352499058581692,0.3481701119443694,1.5039409549579221,0.42608848011864475,0.0,,0.9152493200752349,0.5425464836260663,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ freetime in (0.999, 3.0]",190.45244830949622,"[1, 4, 17, 29, 58, 70, 104, 133, 137, 161, 162, 171, 205, 220, 221, 232, 239, 244, 260, 266, 267]",21,11,0.9219,0.4708,0.5018,0.0692,0.9983311895862679,3.8265510446195727,0.99951171875,65.0,0.3241636721384741,-0.4701590216141304,0.55078125,34.0,0.009749391921195595,-2.778559796399678,0.00927734375,7.0
0.5385,3.4854,12.7181,1.0177,-5.833642221979455,-0.38050306591912175,0.3181909614704472,1.5256517718169018,0.0020317687727840453,0.5020817019022807,0.01149790371650093,0.3956106453852417,0.656422896273718,-1.346302037853516,0.07614519706660865,-0.07130959032387629,0.9252156962984722,0.0,,1.8971109568356894,0.004467428194331646,subgroup,"Dalc in (0.999, 2.0] ∧ freetime in (0.999, 3.0] ∧ school=='MS'",187.6083760665281,"[1, 4, 29, 45, 53, 55, 79, 80, 84, 100, 112, 121, 161, 162, 165, 168, 190, 266, 271, 272]",20,3,0.8331,1.3611,4.5993,-1.2137,0.8646562467606871,1.5075016837738933,0.875,5.0,0.2827504794429738,-0.6822397447804378,0.625,3.0,0.2023848974025354,-1.047572837119806,0.125,0.0
0.5151,1.9145,6.8022,-0.0074,-6.798440553026239,0.037033376168297494,0.9170496953778553,1.456990760792645,0.00232210791944678,0.5415789608249237,0.0025375740576161097,-1.8568607819828662,0.22958616200036003,-1.3659955227776042,0.3447861172030988,1.700504138179152,0.1835144116213729,3.1999422728715268,0.15078876084161627,-0.22555698984053152,0.8327165104986582,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ Pstatus=='T'",186.4371761907867,"[1, 4, 17, 29, 39, 58, 70, 92, 101, 104, 106, 120, 128, 133, 137, 151, 161, 162, 171, 205, 220, 221, 224, 231, 232, 239, 244, 260, 266, 267]",30,17,0.7315,1.128,3.766,0.1621,0.7979736850505725,0.857086038044408,0.8876571655273438,102.0,0.05120701365514804,-1.7324938679447623,0.0284423828125,36.0,0.005767497688563744,-2.8519223404560807,0.0054931640625,24.0
-0.0419,2.0434,7.4688,0.208,-6.8110753208799215,0.03843624836125992,0.916741329441829,1.4571405435676232,0.0029717260385583168,0.5388354324044563,0.009014029138733955,-1.8615688452970054,0.2425132461747684,-1.3877010676303891,0.4021297897836351,1.7156542124613083,0.22332475234731108,3.2136489100104146,0.16800831555052745,-0.22153487938611294,0.8408690843175048,subgroup,"Dalc in (0.999, 2.0] ∧ Fjob=='services' ∧ Medu in (-0.001, 2.0]",185.20170455580995,"[1, 4, 17, 29, 58, 70, 92, 101, 104, 106, 120, 128, 133, 137, 151, 161, 162, 171, 205, 220, 221, 224, 231, 232, 239, 244, 260, 266, 267]",29,14,0.832,0.6149,1.2044,0.2948,0.9508352788298736,1.780695151650684,0.99462890625,91.0,0.10807731395749562,-1.3000724196909887,0.067626953125,28.0,0.0094787811872206,-2.678428086114997,0.00335693359375,11.0
-0.2111,3.3274,31.0704,0.6662,-3.2843962427726803,-0.7464950574479121,0.21750950296344046,2.058023599008247,0.005661626991782572,0.01861776271852735,0.6227903442326608,-0.4212574544970864,0.7370629869673204,-3.4163947087847903,0.06888904029472281,1.416511304164633,0.34402102130068113,-11.886122340055374,0.019266309908383402,0.11431507243114414,0.8884360186175696,subgroup,"Fjob=='services' ∧ Walc in (0.999, 2.0] ∧ goout in (0.999, 2.0]",180.84174858290717,"[29, 55, 68, 84, 111, 138, 151, 161, 162, 183, 189, 197, 204, 224, 231, 237, 241, 244, 250, 266]",20,9,0.7966,1.3303,5.2179,-0.1322,0.8764286969103068,1.2485101303705852,0.986328125,40.0,0.55875863205282,0.15261253464716648,0.212890625,15.0,0.05361538895453947,-1.8140096652896582,0.048828125,8.0
0.3582,4.1676,22.5624,0.8347,-12.797004289036082,-0.42650840492105263,0.28785876397562277,2.466043215433091,0.0005374852585151578,0.2836568705173552,0.032195057719615575,-1.3330128991867376,0.20136439530034267,0.44168812651403666,0.6857083699076743,2.4766821308102807,0.018745706055495234,-2.4238927643742727,0.18785364834204515,-0.7132014522448741,0.2503069533344613,subgroup,"Medu in (-0.001, 2.0] ∧ Mjob=='services' ∧ traveltime in (0.999, 2.0]",178.16830828316355,"[0, 14, 57, 70, 75, 106, 133, 137, 147, 151, 171, 209, 220, 221, 223, 226, 239, 244, 261, 264, 267]",21,11,0.7688,1.9292,8.1278,-0.9426,0.9640008973924802,2.011467680662472,0.97314453125,54.0,0.13007379975320152,-1.1936908521646614,0.1826171875,22.0,0.012941658769667387,-2.61353461366411,0.0068359375,6.0
0.1728,1.886,6.2723,0.1969,-8.330289934604727,0.33557385573570997,0.4532551289927216,1.2951999384097292,0.01668860024233655,0.5086877766642504,0.0036616619926318115,-1.3840347181045054,0.3676324180136624,-1.1550370226454152,0.4345045026018878,1.8964715470722053,0.15355176533039594,3.431280675108079,0.13366621670209622,-0.5051259581228491,0.6430892310006435,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ higher=='yes'",166.8833759951389,"[4, 17, 29, 39, 58, 70, 92, 101, 106, 120, 128, 133, 137, 151, 161, 162, 171, 205, 220, 221, 224, 231, 232, 239, 244, 261, 266]",27,15,0.7506,0.8699,1.8913,0.5922,0.9089755691850359,1.4042171294049726,0.946502685546875,88.0,0.0964344262566622,-1.3680019505812469,0.06768798828125,33.0,0.01653060718949803,-2.364115720371879,0.017669677734375,23.0
-0.4503,3.8096,32.8725,0.9198,-4.930308573588478,-0.8371343093880692,0.09461863836295621,2.239773103102625,0.0003173320386358543,0.03559135754715214,0.27167983991633093,0.16835084005076473,0.8600806810321736,-2.4246780867410527,0.08332577472654491,1.0223449996188698,0.3647321403883066,-10.730704761741393,0.007081105364140495,0.0851626433759628,0.9030598226242705,subgroup,"Fjob=='services' ∧ goout in (0.999, 2.0]",165.30501932653556,"[4, 9, 26, 29, 55, 68, 84, 111, 138, 151, 161, 162, 183, 189, 190, 197, 204, 224, 231, 237, 241, 244, 247, 250, 266]",25,12,0.8268,1.0452,3.9268,-0.1165,0.939565816355359,1.6811779346103337,0.99755859375,72.0,0.6229197288102128,0.3210895672362121,0.2119140625,28.0,0.02005704689202337,-2.3265236089922747,0.006103515625,8.0
