subgroup,term,coef
#44,G1,0.18717081757617016
#44,G2,0.9622716940791969
#44,absences,0.02404838815306564
#44,activities,-0.07883195934181664
#44,paid,-0.00762533758486611
#44,famsup,-0.1203421028497339
#44,schoolsup,0.3757417005740624
#44,studytime,-0.1279796466867239
#45,const,-1.7748360804981698
#45,G1,0.18717081757617016
#45,G2,0.9622716940791969
#45,absences,0.02404838815306564
#45,activities,-0.07883195934181664
#45,paid,-0.00762533758486611
#45,famsup,-0.1203421028497339
#45,schoolsup,0.3757417005740624
#45,studytime,-0.1279796466867239
#46,const,-1.7748360804981698
#46,G1,0.18717081757617016
#46,G2,0.9622716940791969
#46,absences,0.02404838815306564
#46,activities,-0.07883195934181664
#46,paid,-0.00762533758486611
#46,famsup,-0.1203421028497339
#46,schoolsup,0.3757417005740624
#46,studytime,-0.1279796466867239
#47,const,-1.7748360804981698
#47,G1,0.18717081757617016
#47,G2,0.9622716940791969
#47,absences,0.02404838815306564
#47,activities,-0.07883195934181664
#47,paid,-0.00762533758486611
#47,famsup,-0.1203421028497339
#47,schoolsup,0.3757417005740624
#47,studytime,-0.1279796466867239
#48,const,-1.7748360804981698
#48,G1,0.18717081757617016
#48,G2,0.9622716940791969
#48,absences,0.02404838815306564
#48,activities,-0.07883195934181664
#48,paid,-0.00762533758486611
#48,famsup,-0.1203421028497339
#48,schoolsup,0.3757417005740624
#48,studytime,-0.1279796466867239
#49,const,-1.7748360804981698
#49,G1,0.18717081757617016
#49,G2,0.9622716940791969
#49,absences,0.02404838815306564
#49,activities,-0.07883195934181664
#49,paid,-0.00762533758486611
#49,famsup,-0.1203421028497339
#49,schoolsup,0.3757417005740624
#49,studytime,-0.1279796466867239
#50,const,-1.7748360804981698
#50,G1,0.18717081757617016
#50,G2,0.9622716940791969
#50,absences,0.02404838815306564
#50,activities,-0.07883195934181664
#50,paid,-0.00762533758486611
#50,famsup,-0.1203421028497339
#50,schoolsup,0.3757417005740624
#50,studytime,-0.1279796466867239
