r2,mae,mse,mean_residual,intercept,coef__nr_distinct_files_viewed,pval__nr_distinct_files_viewed,coef__total_course_activities,pval__total_course_activities,coef__nightly_activities,pval__nightly_activities,coef__distinct_days,pval__distinct_days,coef__logged_in_weekly,pval__logged_in_weekly,coef__nr_files_viewed,pval__nr_files_viewed,coef__nr_slides_viewed,pval__nr_slides_viewed,model_type,description,cookD,n_train,n_test,global_baseline_r2,global_baseline_mae,global_baseline_mse,global_baseline_mean_residual,mean_baseline_r2,mean_baseline_mae,mean_baseline_mse,mean_baseline_mean_residual,ttest_p,ttest_stat,wilcoxon_p,wilcoxon_stat,ttest_p_mean,ttest_stat_mean,wilcoxon_p_mean,wilcoxon_stat_mean,ttest_p_mean_global,ttest_stat_mean_global,wilcoxon_p_mean_global,wilcoxon_stat_mean_global
-0.1777,1.8701,5.4178,-0.5381,6.435271773297021,0.05435497926298376,0.011910036326977996,0.016157346978694413,0.0003909849803923669,-0.0009050544454407027,0.7430394072388978,-0.09165494128757608,0.0023965828870590082,0.14578798814770288,0.6450859459570886,-0.05507697471079266,0.005983165125111491,0.00731082340246865,0.7630840423895767,subgroup,croho=='B Electrical Engineering' ∧ type_vooropleiding=='BUITENL_SL',106.11540510533926,183,69,0.0898,1.7239,4.1872,0.3786,-0.025916658135070936,1.7637522768670308,4.719389014173376,-0.3452839154193394,0.9326258473374601,1.5136525616601577,0.7770641844898509,1335.0,0.8121344668829003,0.8916383465794916,0.6231994854433879,1260.0,0.15895675346687987,-1.0061434544869117,0.44885791607079895,1186.0
-0.1721,1.8374,5.2503,-0.4857,6.435271773297021,0.05435497926298376,0.011910036326977996,0.016157346978694413,0.0003909849803923669,-0.0009050544454407027,0.7430394072388978,-0.09165494128757608,0.0023965828870590082,0.14578798814770288,0.6450859459570886,-0.05507697471079266,0.005983165125111491,0.00731082340246865,0.7630840423895767,subgroup,croho=='B Electrical Engineering' ∧ double_major==False ∧ type_vooropleiding=='BUITENL_SL',106.11540510533926,183,68,0.0716,1.7128,4.1587,0.4206,-0.01916862579622558,1.7323529411764707,4.5652406672603645,-0.29302475088395996,0.9080665706629399,1.342804602013676,0.7150717581307305,1266.0,0.8041053136090055,0.8619504346893511,0.5751185502660183,1204.0,0.21918120256095186,-0.7796157137101458,0.5316565237949528,1186.0
0.0425,1.5007,3.6813,-0.0754,5.788668845484396,0.09046658459586482,4.291065566143639e-05,0.01963302958853389,0.00213395225008996,-0.002237795753504945,0.5536445748688217,-0.05756881701487636,0.14468090108766946,0.11463900314175385,0.7472313030119357,-0.08467067391588949,0.003377291742905844,-0.007313539177117939,0.6254464383377375,subgroup,croho=='B Computer Science & Engineering' ∧ origin=='ORIGIN_E',99.98339294100275,121,43,-0.1801,1.8139,4.537,0.9972,-0.0011938573238055028,1.6266192581203156,3.8492519573100714,0.06774937536036871,0.13982366345325412,-1.0952520924837676,0.03082490160772977,318.0,0.3825930443259709,-0.3006217279164673,0.14419757993812254,384.0,0.8733606778502956,1.1583176172095466,0.9346806920386825,598.0
0.0425,1.5007,3.6813,-0.0754,5.788668845484396,0.09046658459586482,4.291065566143639e-05,0.01963302958853389,0.00213395225008996,-0.002237795753504945,0.5536445748688217,-0.05756881701487636,0.14468090108766946,0.11463900314175385,0.7472313030119357,-0.08467067391588949,0.003377291742905844,-0.007313539177117939,0.6254464383377375,subgroup,croho=='B Computer Science & Engineering' ∧ double_major==False ∧ origin=='ORIGIN_E',99.98339294100275,121,43,-0.1801,1.8139,4.537,0.9972,-0.0011938573238055028,1.6266192581203156,3.8492519573100714,0.06774937536036871,0.13982366345325412,-1.0952520924837676,0.03082490160772977,318.0,0.3825930443259709,-0.3006217279164673,0.14419757993812254,384.0,0.8733606778502956,1.1583176172095466,0.9346806920386825,598.0
-0.0498,1.9453,4.9852,-0.1452,7.180305026016371,0.00860571817385615,0.7752796121271445,0.01876870166996257,0.00870026294735605,-0.0015797125806365532,0.7377463970360973,-0.14390138101478994,0.0031741466985376007,0.40123056784337047,0.41425085595851585,-0.04639483272307506,0.16152981405608446,-0.04732985608042857,0.18214642235665043,subgroup,croho=='B Electrical Engineering' ∧ origin=='ORIGIN_E' ∧ sex=='SEX_M',97.01467762173964,101,30,-0.1372,2.0698,5.4004,0.7135,-0.014206012724031769,1.991485148514851,4.816351664869456,0.2597359735973586,0.3019551329079292,-0.5245103150943402,0.10646642651408911,171.0,0.5977221653528845,0.24973132396834746,0.41178847197443247,221.0,0.8203262137988371,0.9313778153036987,0.8553168969228864,284.0
-0.1689,1.9219,6.1237,-0.7185,6.74977685778328,0.029771071998353823,0.24925446168772106,0.013328132090753016,0.016271500370427794,-0.0004847871828564795,0.8829514699911545,-0.08011173758674969,0.03742511678244975,0.23996769998855771,0.5921249242723892,-0.04113700781994192,0.07608352947333699,-0.002400044425289266,0.9336959525777324,subgroup,croho=='B Electrical Engineering' ∧ origin=='ORIGIN_R',75.10513800835533,74,36,0.2074,1.6166,4.1524,0.2977,-0.1379109225874866,2.0055555555555555,5.961388888888889,-0.8499999999999999,0.9347680273397371,1.5486408718257796,0.8868126530724112,410.0,0.5529098528087731,0.13398707147858524,0.10434235844877549,252.0,0.03737164657096124,-1.8368030042575296,0.07164655841188505,239.0
-0.143,1.854,5.7706,-0.6162,6.74977685778328,0.029771071998353823,0.24925446168772106,0.013328132090753016,0.016271500370427794,-0.0004847871828564795,0.8829514699911545,-0.08011173758674969,0.03742511678244975,0.23996769998855771,0.5921249242723892,-0.04113700781994192,0.07608352947333699,-0.002400044425289266,0.9336959525777324,subgroup,croho=='B Electrical Engineering' ∧ double_major==False ∧ origin=='ORIGIN_R',75.10513800835533,74,35,0.1887,1.5921,4.0962,0.3769,-0.11226199869357978,1.9414285714285715,5.615642857142857,-0.7528571428571428,0.9012786009870972,1.314602085734246,0.8329622517339885,374.0,0.5490883218131162,0.12428266017771014,0.08677523076767102,231.0,0.06299100673937169,-1.5686866308581195,0.1095923823886551,239.0
-0.1503,1.9464,6.3663,-0.5593,6.718698315941374,0.03181255186787757,0.23560363379976476,0.0133793506337057,0.017989306149721402,-0.0004914765402256652,0.8837834069119559,-0.07961868530062852,0.044960563935827,0.22442376004798947,0.6304282623205615,-0.04147799105616193,0.07916528666909664,-0.0034686920101276997,0.9061655770639139,subgroup,course_repeater==np.False_ ∧ croho=='B Electrical Engineering' ∧ origin=='ORIGIN_R',74.80684086284734,71,31,0.1651,1.7393,4.6207,0.4515,-0.07869242951738542,1.9816901408450702,5.969760032251666,-0.6599273057701049,0.877948119688337,1.18812936190799,0.7025927873328328,275.0,0.6101452810534451,0.2822243561531121,0.17342264205217361,199.0,0.11589622626210705,-1.220472822949322,0.2775692134164274,217.0
-0.0165,1.4356,2.9043,0.1002,4.961971861676242,-0.01733765306573596,0.692024049073408,-0.0012314497401847268,0.8171256505132151,-0.009802575315406785,0.04968816342592449,-0.01415789775383957,0.7571549869147461,0.7986245425626931,0.1303703413687576,0.0203307907932935,0.49709750809736,0.010491542351948997,0.85873899014669,subgroup,croho=='B Electrical Engineering' ∧ origin=='ORIGIN_N',73.82726430909825,82,44,0.0014,1.4093,2.8532,-0.6262,-4.971428610955897e-05,1.343569844789357,2.857223649342924,0.01191796008869208,0.5450449753137028,0.11382027203837618,0.47927118322667184,490.0,0.5660346202235024,0.16728409713667822,0.8184130452945624,573.0,0.49512612176292414,-0.012288546980503478,0.5801125493136396,512.0
-0.0165,1.4356,2.9043,0.1002,4.961971861676242,-0.01733765306573596,0.692024049073408,-0.0012314497401847268,0.8171256505132151,-0.009802575315406785,0.04968816342592449,-0.01415789775383957,0.7571549869147461,0.7986245425626931,0.1303703413687576,0.0203307907932935,0.49709750809736,0.010491542351948997,0.85873899014669,subgroup,croho=='B Electrical Engineering' ∧ double_major==False ∧ origin=='ORIGIN_N',73.82726430909825,82,44,0.0014,1.4093,2.8532,-0.6262,-4.971428610955897e-05,1.343569844789357,2.857223649342924,0.01191796008869208,0.5450449753137028,0.11382027203837618,0.47927118322667184,490.0,0.5660346202235024,0.16728409713667822,0.8184130452945624,573.0,0.49512612176292414,-0.012288546980503478,0.5801125493136396,512.0
