r2,mae,mse,mean_residual,intercept,coef__total_attended_labsessions,pval__total_attended_labsessions,coef__active_minutes,pval__active_minutes,coef__nr_distinct_files_viewed,pval__nr_distinct_files_viewed,coef__total_course_activities,pval__total_course_activities,coef__distinct_days,pval__distinct_days,coef__nr_files_viewed,pval__nr_files_viewed,coef__nr_practice_exams_viewed,pval__nr_practice_exams_viewed,model_type,description,cookD,n_train,n_test,global_baseline_r2,global_baseline_mae,global_baseline_mse,global_baseline_mean_residual,mean_baseline_r2,mean_baseline_mae,mean_baseline_mse,mean_baseline_mean_residual,ttest_p,ttest_stat,wilcoxon_p,wilcoxon_stat,ttest_p_mean,ttest_stat_mean,wilcoxon_p_mean,wilcoxon_stat_mean,ttest_p_mean_global,ttest_stat_mean_global,wilcoxon_p_mean_global,wilcoxon_stat_mean_global
0.0316,0.5755,0.5319,-0.191,6.746918166603411,0.044256372665855886,0.05575808169440398,6.645052770609708e-06,0.742006761538097,0.04568497310602282,0.0673732298870765,-0.0014847713086945068,0.6980924408130764,0.024515021364016787,0.09069228863045797,-0.005432116250074375,0.7372785298619482,0.023763159708383205,0.33832025423122514,subgroup,"GPA in (7.0, 8.9] ∧ sex=='SEX_M'",95.71181809241094,123,47,-1.2653,0.9297,1.2443,0.8545,-0.13538599362443504,0.6271406331084586,0.6236656245649116,-0.2727036844836523,0.0036009021046832673,-2.812631527460184,0.004112327116509107,317.0,0.06288478585858852,-1.5593424210416678,0.09839105085139721,441.0,0.9851527245572944,2.243894745899909,0.9929079616209364,793.0
0.0316,0.5755,0.5319,-0.191,6.746918166603411,0.044256372665855886,0.05575808169440398,6.645052770609708e-06,0.742006761538097,0.04568497310602282,0.0673732298870765,-0.0014847713086945068,0.6980924408130764,0.024515021364016787,0.09069228863045797,-0.005432116250074375,0.7372785298619482,0.023763159708383205,0.33832025423122514,subgroup,"GPA in (7.0, 8.9] ∧ course_repeater==np.False_ ∧ sex=='SEX_M'",95.71181809241094,123,47,-1.2653,0.9297,1.2443,0.8545,-0.13538599362443504,0.6271406331084586,0.6236656245649116,-0.2727036844836523,0.0036009021046832673,-2.812631527460184,0.004112327116509107,317.0,0.06288478585858852,-1.5593424210416678,0.09839105085139721,441.0,0.9851527245572944,2.243894745899909,0.9929079616209364,793.0
0.052,0.5382,0.4455,-0.0907,5.893882778702209,0.04681040822353491,0.08329131665288536,8.272083662396636e-06,0.6987255131668038,0.06822373846502315,0.03046777262836555,-0.0012750740625914053,0.7536154675031663,0.04069737379246581,0.022227662195241825,-0.011239943399917254,0.5147625886614915,0.022915880660540344,0.40136764504064326,subgroup,"GPA in (7.0, 8.9] ∧ croho=='B Computer Science & Engineering' ∧ sex=='SEX_M'",92.34250986864085,89,26,-1.9476,1.0112,1.3852,0.9833,-0.08208885861610704,0.6009075194468454,0.5085337418546613,-0.19641313742437413,0.002958782953319905,-3.008394229147075,0.0036454498767852783,72.0,0.17589441895335806,-0.9488318018475551,0.23388782143592834,146.0,0.9940384825416787,2.7119678740478306,0.9924339354038239,269.0
0.4481,0.8671,1.3564,-0.2669,0.5210347602117702,-0.0680871000891841,0.4762467683773324,6.20881484986902e-05,0.25796057205042006,0.05569580067475828,0.3800041863293836,0.03557713818838908,0.00206978897136333,-0.01863111640255902,0.7130498494056488,-0.17936653717644832,0.0010808705332152721,0.17012687101144455,0.028913941646283338,subgroup,"GPA in (1.399, 5.6] ∧ croho=='B Industrial Engineering'",82.42739666264852,75,32,-0.331,1.4799,3.271,-1.3389,-0.0676552208675747,1.1727500000000002,2.623721,-0.40774999999999967,0.0013560024694185618,-3.259217516245605,0.00023590750060975552,85.0,0.05957791069295947,-1.602641728284035,0.062023251317441463,181.0,0.7967648595671467,0.8415769404348888,0.9467811493668705,350.0
0.4695,0.8291,1.2115,-0.32,0.4096561577702811,-0.055669209000649755,0.5652923791779754,6.21277672114588e-05,0.2619316252767254,0.0645090405613439,0.3169575118614333,0.03414232315138399,0.0039839303680000515,-0.01983817528555029,0.6999867325284908,-0.17192652349281567,0.002411835841547568,0.16665848542329864,0.033868652678647936,subgroup,"GPA in (1.399, 5.6] ∧ course_repeater==np.False_ ∧ croho=='B Industrial Engineering'",81.97524440831135,72,30,-0.4959,1.5094,3.416,-1.437,-0.10230147917477606,1.1488888888888888,2.5171666666666663,-0.48333333333333284,0.00038917863883806595,-3.7532688842807223,5.529075860977173e-05,56.0,0.06235435535949102,-1.5810700407751692,0.10646642651408911,171.0,0.8674057510937834,1.136168106039782,0.9650535443797708,320.0
0.4082,0.8618,1.2513,0.0606,1.7488200193724683,-0.0031315383642991496,0.9615741980345728,2.6401701678814085e-06,0.9414869740200349,0.04172857616876828,0.31056299243808866,0.029406049406810165,3.61253688090063e-05,-0.03135508009386784,0.3791548533849717,-0.1416039267905077,3.774704956090083e-05,0.1423935483723088,0.008851638584160094,subgroup,"GPA in (1.399, 5.6] ∧ sex=='SEX_M'",66.92942316969788,138,59,-0.0759,1.1443,2.2748,-0.8691,-0.005255912647370575,1.10246868091378,2.1254188427157086,0.10541635961680122,0.0035186268923326036,-2.794349222326398,0.00785999805908012,565.0,0.02321835256962087,-2.034934729338701,0.08476250714920508,703.0,0.6115133547904507,0.28458821731952666,0.6329432988723155,930.0
0.3399,0.8534,1.2291,-0.084,1.4895140747329036,-0.03100487173266496,0.6134305939554345,2.006052483896651e-05,0.5414042196700057,0.05734589235515125,0.11512820810492677,0.024883114283962983,0.00011821294544479624,-0.0028351033203274957,0.9302270969661843,-0.12463553895763638,4.671137204046724e-05,0.09095468237111556,0.06257769841092198,subgroup,"GPA in (1.399, 5.6] ∧ course_repeater==np.False_",66.59400216740505,158,65,-0.331,1.237,2.4784,-1.0402,-0.003913401432917851,1.0109737098344693,1.8694031836613956,-0.08536514118792592,6.482979921033336e-05,-4.0743051592187935,0.00018206167240822284,527.0,0.05842955650888037,-1.5895738538485409,0.2620115383180719,975.0,0.8965784944017929,1.2752147063540091,0.9531515686281075,1329.0
0.4239,0.8451,1.2023,-0.0561,1.8831100558100482,0.0013364716147621705,0.9854190159432119,4.814855211198853e-06,0.8977851515581386,0.033887546659838536,0.45868420537396637,0.026397149648516246,0.0010498267895615663,-0.017836476083388175,0.6610514495962238,-0.12605576037728705,0.0012661386878216486,0.11901991293997138,0.0383812391100977,subgroup,"GPA in (1.399, 5.6] ∧ course_repeater==np.False_ ∧ sex=='SEX_M'",66.15963017710915,122,51,-0.2253,1.2367,2.5572,-1.0189,-0.0032878237323215043,1.054355512696882,2.0938512733768597,-0.08283510125361644,0.00044584005336765294,-3.5340583575200726,0.0008718384268797918,329.0,0.03434103873599515,-1.8606312354806955,0.16250514662582977,558.0,0.7838190043100364,0.7915504630173026,0.873597534485077,785.0
0.3449,0.8711,1.2432,0.004,1.6099979995603562,-0.030729202745648,0.5737533385995903,1.944171010423677e-05,0.5341594551289695,0.05610050542283877,0.07679947674551632,0.024648989049733835,1.0108885994176824e-05,-0.00710984341533398,0.80431677633153,-0.12381840580409387,2.100927573816155e-06,0.11090689602564388,0.009152367303331398,subgroup,"GPA in (1.399, 5.6]",64.25805361481345,185,75,-0.1702,1.1556,2.2209,-0.9168,-0.0010051438325129336,1.0507531531531529,1.8997102313123935,0.043675675675675235,0.0004560421652978335,-3.45583745009304,0.0014495725735431684,861.0,0.03079836126429067,-1.8979968648991008,0.08006594635744968,1159.0,0.7712431895177492,0.7468615004798127,0.8195197318763621,1598.0
0.3819,0.9479,1.2634,0.1457,0.8276983895692627,-0.004588653158663081,0.9482936932131932,8.62790888221904e-05,0.08528164514811742,0.08656961893126025,0.0667672074081609,0.040760135357697756,1.710007018481471e-06,-0.07436179372256127,0.09885325918000133,-0.2016134707565702,2.005778393540564e-06,0.1534137882157878,0.009420709595967643,subgroup,"GPA in (1.399, 5.6] ∧ origin=='ORIGIN_N'",62.80506733494598,86,33,0.1096,1.0875,1.82,-0.7416,-0.00682930111087976,1.1025722339675825,2.057888826064867,-0.1181465821000699,0.10051615740027038,-1.305497005975586,0.12454417126718909,215.0,0.140633019671066,-1.0959835668947906,0.45788490341510624,274.0,0.3340120239065192,-0.4328544457038693,0.5837745007593185,292.0
