subgroup,term,coef,p,significant
#14,const,-6.167140849615679,0.06344628139958286,yes
#14,G1,0.464191937191455,0.24702562646375167,no
#14,G2,1.2275843905739918,0.014786671041799765,yes
#14,absences,0.47945596899456666,0.05896171245645058,yes
#14,activities,-2.271452115780236,0.05445589190684583,yes
#14,paid,0.53787007166572,0.6674775109527129,no
#14,famsup,0.6560108877667377,0.5619600975657768,no
#14,schoolsup,0.38973750343864744,0.8172448293254533,no
#14,studytime,-1.4578831891094373,0.016630418493034777,yes
#15,const,-6.167140849615679,0.06344628139958286,yes
#15,G1,0.464191937191455,0.24702562646375167,no
#15,G2,1.2275843905739918,0.014786671041799765,yes
#15,absences,0.47945596899456666,0.05896171245645058,yes
#15,activities,-2.271452115780236,0.05445589190684583,yes
#15,paid,0.53787007166572,0.6674775109527129,no
#15,famsup,0.6560108877667377,0.5619600975657768,no
#15,schoolsup,0.38973750343864744,0.8172448293254533,no
#15,studytime,-1.4578831891094373,0.016630418493034777,yes
#16,const,-6.167140849615679,0.06344628139958286,yes
#16,G1,0.464191937191455,0.24702562646375167,no
#16,G2,1.2275843905739918,0.014786671041799765,yes
#16,absences,0.47945596899456666,0.05896171245645058,yes
#16,activities,-2.271452115780236,0.05445589190684583,yes
#16,paid,0.53787007166572,0.6674775109527129,no
#16,famsup,0.6560108877667377,0.5619600975657768,no
#16,schoolsup,0.38973750343864744,0.8172448293254533,no
#16,studytime,-1.4578831891094373,0.016630418493034777,yes
#17,const,-7.130265712368401,0.001700322577581976,yes
#17,G1,0.3615083065337855,0.31059795543110963,no
#17,G2,1.3055083062229411,0.0027455172532862737,yes
#17,absences,0.4568173271278222,0.0015965252157879263,yes
#17,activities,-1.5075146885338846,0.20354036240947346,no
#17,paid,-0.7166311930814471,0.5681198672571528,no
#17,famsup,2.045735141162593,0.05880575161017129,yes
#17,schoolsup,3.3194587512630434,0.0421479587390939,yes
#17,studytime,-1.0652995777345717,0.21156712246119785,no
#18,const,1.1215662467282916,0.5856513514402895,no
#18,G1,0.49907000755672715,0.0993271357763767,yes
#18,G2,0.38535275044446893,0.14078508781155175,no
#18,absences,0.46952084561616436,0.011636522123819146,yes
#18,activities,-3.3426216821020116,0.003359208433829514,yes
#18,paid,0.19434047057916848,0.8592638758557143,no
#18,famsup,-1.3681274317230725,0.1738103610676132,no
#18,schoolsup,3.210867989468796,0.21454898656986515,no
#18,studytime,-0.23961911577333206,0.6580668116046219,no
#19,const,-4.464654956513932,0.038746333281849496,yes
#19,G1,0.6555240766585828,0.12457649319730982,no
#19,G2,0.5724983756537514,0.12618510678317144,no
#19,absences,0.47874311493049376,0.023333997516604817,yes
#19,activities,-3.011549953994228,0.017972003014327578,yes
#19,paid,-0.2768978821692478,0.8605322372902693,no
#19,famsup,0.20012399948493176,0.900205987871902,no
#19,schoolsup,4.877445000405211,0.1248890664497687,no
#19,studytime,0.14355472811428727,0.8389445491619838,no
#20,const,-4.464654956513932,0.038746333281849496,yes
#20,G1,0.6555240766585828,0.12457649319730982,no
#20,G2,0.5724983756537514,0.12618510678317144,no
#20,absences,0.47874311493049376,0.023333997516604817,yes
#20,activities,-3.011549953994228,0.017972003014327578,yes
#20,paid,-0.2768978821692478,0.8605322372902693,no
#20,famsup,0.20012399948493176,0.900205987871902,no
#20,schoolsup,4.877445000405211,0.1248890664497687,no
#20,studytime,0.14355472811428727,0.8389445491619838,no
#21,const,-4.464654956513932,0.038746333281849496,yes
#21,G1,0.6555240766585828,0.12457649319730982,no
#21,G2,0.5724983756537514,0.12618510678317144,no
#21,absences,0.47874311493049376,0.023333997516604817,yes
#21,activities,-3.011549953994228,0.017972003014327578,yes
#21,paid,-0.2768978821692478,0.8605322372902693,no
#21,famsup,0.20012399948493176,0.900205987871902,no
#21,schoolsup,4.877445000405211,0.1248890664497687,no
#21,studytime,0.14355472811428727,0.8389445491619838,no
#22,const,-6.9033129696665805,0.0007085342306880406,yes
#22,G1,0.14441872859867888,0.6408010902187999,no
#22,G2,1.4624217900168555,0.00023321898415917455,yes
#22,absences,0.45042996854591716,0.0008103897363712754,yes
#22,activities,-1.2448870006739399,0.2530963441398873,no
#22,paid,-1.5618345327428145,0.19069535659121717,no
#22,famsup,1.6785173346702553,0.11600489094627804,no
#22,schoolsup,3.210192471113037,0.046739286030282566,yes
#22,studytime,-0.6344798657594045,0.4149775607805092,no
#23,const,-6.9033129696665805,0.0007085342306880406,yes
#23,G1,0.14441872859867888,0.6408010902187999,no
#23,G2,1.4624217900168555,0.00023321898415917455,yes
#23,absences,0.45042996854591716,0.0008103897363712754,yes
#23,activities,-1.2448870006739399,0.2530963441398873,no
#23,paid,-1.5618345327428145,0.19069535659121717,no
#23,famsup,1.6785173346702553,0.11600489094627804,no
#23,schoolsup,3.210192471113037,0.046739286030282566,yes
#23,studytime,-0.6344798657594045,0.4149775607805092,no
#24,const,0.6622904405403984,0.75650950226735,no
#24,G1,1.7100352927132156,0.00522162825007833,yes
